"ensembled_models","error_pct_median","within_5pct","within_10pct","within_20pct"
"rf, glmboost, lm, svm",-0.00311494695064943,0.627888758323541,0.73090481786134,0.854680767724246
"rf, glmboost, lm",-0.00328843971953639,0.63846455150803,0.737171954563259,0.860164512338425
"rf, glmboost, svm (weights:4,3,3)",-0.00101516862621096,0.63924794359577,0.736388562475519,0.862122992557775
"rf, glmboost, lm (weights:4,3,3)",-0.00178502477246769,0.640814727771249,0.736780258519389,0.865648256952605
