"rf_error_dev","glmboost_error_dev","lm_error_dev","svm_error_dev","transvalue_log"
-29514.6561900899,3659.49938616785,-8341.96992971026,5108.31390908052,5.48855071650044
-17416.4531749056,-6872.32890303375,-16705.6620917809,-14339.2882284102,5.62273196516472
4703.32543454668,-2950.73186568794,-14852.6580016388,-5122.39844312018,5.49136169383427
48279.7880819203,55154.7446655539,48956.2024337562,64343.7757000692,5.40654018043396
49580.8848201378,-7312.67754738906,-19093.7943347357,-13354.5503880983,5.47559855775617
25647.1783959391,18596.219923483,930.516377850669,-1694.23965412367,5.57863920996807
46550.8936856994,63171.0006679241,55215.8622148103,55570.9938597301,5.49136169383427
-149416.248123487,-156056.118485022,-168878.145662327,-152586.849728725,5.62838893005031
35382.6419440617,-8511.49239015655,-14786.2490153535,-15350.0081851625,5.47129171105894
15936.5574545466,28191.3894072973,22635.5724413464,26481.8810274228,5.39619934709574
11409.8480560363,-13059.3211833599,-17266.1094598761,-11181.9772468197,5.39794000867204
-147324.185905436,-182277.814509102,-204291.971813468,-204659.579333525,5.77815125038364
-23360.6871732293,-15617.3295639452,-27275.2259147504,-13676.5724697617,5.53781909507327
-48075.4848156551,-82744.9394761198,-89503.1639980565,-85307.667525163,5.68124123737559
28231.3709339354,29621.2549981229,23916.1735350838,31206.6462476153,5.43136376415899
-26727.3337963713,33878.6494191047,29570.0772125154,33214.1329288794,5.64345267648619
60186.2666996063,60472.8867700343,59563.3171653718,58234.8935429888,5.22102280520484
-20021.4087432891,-866.392772076244,-39.1349396506848,3265.43072178008,5.38381536598043
-33488.1061326023,-22983.7709781701,-22132.5616030391,-19190.1733187807,5.45216991853543
-42696.4236414407,-23065.2417571433,-22132.5616030391,-17519.3350480533,5.45216991853543
37037.4969635371,63866.7184991873,67682.0263872296,67383.7877970317,5.32633586092875
70990.6404759157,59693.6538537234,61219.5052301798,64172.2499339886,5.23044892137827
15671.5234219509,9564.70544877162,8287.8424447412,15087.7411792145,5.32325210017169
-44360.2129799271,-12834.1726549463,-10859.6047735653,-7515.27066966367,5.50379068305718
-3039.45309700305,500.894925754226,1229.85002343863,5094.31556858815,5.43933269383026
19636.6157924045,4080.04802198353,-1142.08432226547,11206.0526193867,5.32939787936104
